,Um,Ur,Ud,C_target
238,0.73433,0.74947,0.78342,0.0
239,0.73495,0.75046,0.78355,0.0
240,0.73569,0.75124,0.7837,0.0
241,0.73636,0.75213,0.7838,0.0
242,0.73662,0.75299,0.78394,0.0
243,0.73749,0.75383,0.78403,0.0
244,0.73799,0.75462,0.78414,0.0
245,0.73868,0.75536,0.7843,0.0
246,0.73909,0.75629,0.78444,0.0
247,0.73975,0.75721,0.78454,0.0
248,0.74016,0.75786,0.78462,0.0
249,0.74076,0.75869,0.7848,0.0
250,0.74111,0.75944,0.7848,0.0
251,0.74189,0.76027,0.78497,0.0
252,0.74241,0.76112,0.78509,0.0
253,0.74319,0.76202,0.78524,0.0
254,0.74379,0.76286,0.78541,0.0
255,0.74437,0.76371,0.78553,0.0
256,0.74493,0.76441,0.7856,0.0
257,0.74554,0.76526,0.78576,0.0
258,0.74594,0.76603,0.78585,0.0
259,0.74638,0.76691,0.78597,0.0
260,0.74694,0.76776,0.78609,0.0
261,0.74754,0.76837,0.78616,0.0
262,0.74802,0.76934,0.78628,0.0
263,0.74877,0.77013,0.78642,0.0
264,0.74919,0.77092,0.78653,0.0
265,0.74993,0.77171,0.78663,0.0
266,0.75035,0.77255,0.78676,0.0
267,0.75079,0.77328,0.78682,0.0
268,0.75147,0.77401,0.78698,0.0
269,0.75206,0.77495,0.78707,0.0
270,0.75272,0.77555,0.78721,0.0
271,0.75308,0.7764,0.78733,0.0
272,0.75362,0.7771,0.78742,0.0
273,0.75401,0.77778,0.78754,0.0
274,0.75463,0.77871,0.78761,0.0
275,0.75517,0.77947,0.78772,0.0
276,0.75583,0.78022,0.78781,0.0
277,0.75626,0.78098,0.78796,0.0
278,0.75685,0.7819,0.78803,0.0
279,0.75733,0.78264,0.78819,0.0
280,0.75785,0.78365,0.78827,0.0
281,0.75817,0.78421,0.78837,0.0
282,0.75884,0.78487,0.78848,0.0
283,0.75943,0.78566,0.78857,0.0
284,0.75997,0.78638,0.7887,0.0
285,0.76058,0.7874,0.78885,0.0
286,0.76107,0.78803,0.78888,0.0
287,0.76136,0.78877,0.78902,0.0
288,0.7619,0.78944,0.78912,0.0
289,0.76247,0.79025,0.7892,0.0
290,0.76288,0.79101,0.78934,0.0
291,0.7636,0.79191,0.78944,0.0
292,0.76415,0.79244,0.78954,0.0
293,0.76472,0.79327,0.78963,0.0
294,0.76516,0.79408,0.78977,0.0
295,0.76564,0.79465,0.78986,0.0
296,0.76628,0.79544,0.78993,0.0
297,0.76666,0.79622,0.79008,0.0
298,0.76721,0.79698,0.79014,0.0
299,0.76769,0.7977,0.79026,0.0
300,0.76815,0.79845,0.79035,0.0
301,0.76881,0.79931,0.79044,0.0
302,0.76913,0.79989,0.79056,0.0
303,0.76992,0.80057,0.79066,0.0
304,0.7702,0.80145,0.79078,0.0
305,0.77083,0.80213,0.7909,0.0
306,0.77135,0.80296,0.79092,0.0
307,0.77181,0.80367,0.79111,0.0
308,0.77201,0.80439,0.79115,0.0
309,0.77281,0.80513,0.7913,0.0
310,0.77321,0.80579,0.79143,0.0
311,0.77363,0.80659,0.79151,0.0
312,0.77439,0.80719,0.79158,0.0
313,0.77462,0.80806,0.79166,0.0
314,0.7753,0.80869,0.79173,0.0
315,0.77585,0.80935,0.79188,0.0
316,0.77623,0.81019,0.79196,0.0
317,0.77671,0.81079,0.79206,0.0
318,0.77717,0.81145,0.79216,0.0
319,0.77757,0.81223,0.79232,0.0
320,0.7781,0.81298,0.79239,0.0
321,0.77854,0.81346,0.79241,0.0
322,0.77905,0.81423,0.79252,0.0
323,0.77956,0.81498,0.79266,0.0
324,0.78006,0.81566,0.79272,0.0
325,0.78049,0.81648,0.7928,0.0
326,0.78101,0.81703,0.79287,0.0
327,0.78118,0.81765,0.79299,0.0
328,0.78182,0.81833,0.79307,0.0
329,0.78224,0.81903,0.79318,0.0
330,0.78273,0.81956,0.79321,0.0
331,0.78309,0.82016,0.79329,0.0
332,0.78366,0.82098,0.79341,0.0
333,0.78417,0.82156,0.79354,0.0
334,0.78455,0.82231,0.79359,0.0
335,0.78494,0.82286,0.7937,0.0
336,0.7856,0.8235,0.79376,0.0
337,0.78568,0.82428,0.79385,0.0
338,0.78625,0.82498,0.79394,0.0
339,0.78656,0.8255,0.79408,0.0
340,0.78719,0.82607,0.79413,0.0
341,0.78759,0.82682,0.79422,0.0
342,0.78802,0.82731,0.79427,0.0
343,0.78844,0.82783,0.79436,0.0
344,0.78885,0.82841,0.79445,0.0
345,0.78923,0.82922,0.79453,0.0
346,0.7898,0.82962,0.79461,0.0
347,0.79007,0.83039,0.79474,0.0
348,0.79045,0.83078,0.79475,0.0
349,0.79093,0.83149,0.79486,0.0
350,0.79105,0.83221,0.79492,0.0
351,0.79158,0.83253,0.79501,0.0
352,0.79211,0.83315,0.79508,0.0
353,0.7924,0.83373,0.79516,0.0
354,0.79278,0.83447,0.79523,0.0
355,0.79324,0.83496,0.79532,0.0
356,0.79379,0.83546,0.7954,0.0
357,0.79396,0.83597,0.79544,0.0
358,0.79418,0.83682,0.79552,0.0
359,0.79458,0.83723,0.79557,0.0
360,0.79492,0.83775,0.79564,0.0
361,0.79553,0.83821,0.79572,0.0
362,0.79594,0.83892,0.7958,0.0
363,0.79619,0.83946,0.79588,0.0
364,0.79654,0.84001,0.79603,0.0
365,0.79707,0.84036,0.79603,0.0
366,0.79741,0.84107,0.79616,0.0
367,0.79772,0.84148,0.79616,0.0
368,0.79812,0.84214,0.79621,0.0
369,0.79832,0.84262,0.79631,0.0
370,0.79869,0.84319,0.7964,0.0
371,0.79899,0.84361,0.79646,0.0
372,0.79944,0.84418,0.79654,0.0
373,0.79979,0.84469,0.7966,0.0
374,0.80013,0.8453,0.79663,0.0
375,0.80044,0.84553,0.79673,0.0
376,0.8009,0.84625,0.79679,0.0
