,C,Um,Ur,Ud,C_target
289,151.474548,0.71307,0.71842,0.77877,0.0
290,337.242981,0.71311,0.71836,0.77866,0.0
291,288.696503,0.71302,0.7183,0.77867,0.0
292,229.080383,0.71323,0.71818,0.77863,0.0
293,93.77272,0.71317,0.71809,0.77872,0.0
294,-61.961662,0.71287,0.71788,0.7787,0.0
295,211.305725,0.71306,0.71789,0.77862,0.0
296,200.888947,0.71291,0.71783,0.77868,0.0
297,245.981812,0.71289,0.71779,0.77867,0.0
298,-208.557938,0.71275,0.71798,0.77862,0.0
299,-215.4552,0.71278,0.71768,0.7786,0.0
300,196.85643,0.71294,0.71772,0.77864,0.0
301,293.378204,0.71254,0.71774,0.77867,0.0
302,-230.245956,0.71258,0.71767,0.77869,0.0
303,-146.691879,0.71284,0.71762,0.77865,0.0
304,131.310287,0.71289,0.71767,0.77863,0.0
305,166.73793,0.71269,0.71752,0.7785,0.0
306,-265.573822,0.71258,0.71736,0.77867,0.0
307,229.757614,0.71261,0.71768,0.77856,0.0
308,189.651901,0.71258,0.71744,0.77863,0.0
309,-77.724152,0.71258,0.71726,0.77856,0.0
310,193.732513,0.7125,0.71715,0.77853,0.0
311,101.251335,0.71248,0.71734,0.77856,0.0
312,334.342468,0.71231,0.71728,0.77864,0.0
313,205.232574,0.71238,0.71744,0.77867,0.0
314,-189.006409,0.7125,0.71714,0.77854,0.0
315,359.298828,0.71243,0.71707,0.77856,0.0
316,245.934769,0.71234,0.71715,0.77859,0.0
317,225.124649,0.71249,0.71724,0.77852,0.0
318,-208.919678,0.71194,0.71717,0.77854,0.0
319,83.217773,0.71222,0.71705,0.77846,0.0
320,-193.301819,0.71235,0.71691,0.77857,0.0
321,-192.154968,0.71211,0.7166,0.77852,0.0
322,255.739777,0.71213,0.7169,0.77857,0.0
323,-353.534424,0.71201,0.71692,0.77858,0.0
324,148.185669,0.71207,0.7169,0.77868,0.0
325,170.125488,0.71219,0.71701,0.77847,0.0
326,-210.000183,0.71188,0.71687,0.77845,0.0
327,-274.059723,0.71203,0.71695,0.77836,0.0
328,275.595337,0.71199,0.71672,0.77854,0.0
329,-218.956909,0.71192,0.71647,0.77845,0.0
330,273.580872,0.71174,0.7165,0.7784,0.0
331,-216.969467,0.71191,0.71631,0.77843,0.0
332,-85.427826,0.71187,0.71651,0.77853,0.0
333,106.918449,0.71189,0.71636,0.77834,0.0
334,221.871384,0.7118,0.7162,0.7784,0.0
335,204.413651,0.71177,0.71636,0.77841,0.0
336,120.143494,0.71184,0.71636,0.77841,0.0
337,-238.412537,0.71176,0.71631,0.77841,0.0
338,105.640846,0.71158,0.71627,0.77839,0.0
339,-264.333069,0.7116,0.71611,0.77845,0.0
340,333.220856,0.71181,0.71632,0.7785,0.0
341,-266.729889,0.71156,0.71613,0.77851,0.0
342,297.197784,0.71147,0.71612,0.7784,0.0
343,-52.495117,0.71175,0.71626,0.77844,0.0
344,319.16156,0.71172,0.71613,0.77843,0.0
345,-228.015091,0.71161,0.71597,0.77837,0.0
346,-154.576904,0.71175,0.71588,0.77843,0.0
347,-240.940216,0.71159,0.7157,0.77826,0.0
348,369.203217,0.71136,0.71595,0.77833,0.0
349,-350.073486,0.71167,0.71587,0.77841,0.0
350,145.585922,0.71136,0.71586,0.77841,0.0
351,261.625,0.71142,0.71586,0.77837,0.0
352,-184.341187,0.71147,0.71575,0.77836,0.0
353,-268.781189,0.71134,0.71574,0.7784,0.0
354,141.14978,0.71131,0.71567,0.77839,0.0
355,-81.863258,0.7113,0.7158,0.77827,0.0
356,-115.134949,0.71124,0.71586,0.77832,0.0
357,-335.673584,0.71136,0.71561,0.77831,0.0
358,323.809174,0.71121,0.71543,0.7782,0.0
359,70.88858,0.71118,0.71539,0.77837,0.0
360,199.996078,0.71099,0.71546,0.77818,0.0
361,-268.151062,0.71111,0.71549,0.77838,0.0
362,237.932358,0.71111,0.71557,0.77825,0.0
363,-264.300568,0.7112,0.7154,0.7783,0.0
364,62.771786,0.71114,0.7153,0.77825,0.0
365,-128.571548,0.71119,0.71525,0.77832,0.0
366,282.250061,0.71105,0.71551,0.77835,0.0
367,-285.417267,0.71105,0.71534,0.77839,0.0
368,248.198013,0.71096,0.71525,0.7783,0.0
369,-172.663727,0.71082,0.71519,0.77827,0.0
370,196.492767,0.71077,0.71515,0.77835,0.0
371,-250.190399,0.71098,0.71516,0.77819,0.0
372,393.092743,0.71123,0.71512,0.77829,0.0
373,339.748596,0.711,0.71519,0.77833,0.0
374,-209.487717,0.7109,0.71499,0.77826,0.0
375,211.836075,0.71085,0.715,0.77818,0.0
376,-247.793243,0.71103,0.71507,0.77816,0.0
377,-272.567719,0.7111,0.71504,0.77832,0.0
378,-265.630707,0.711,0.71498,0.77832,0.0
379,311.203949,0.71086,0.71509,0.77825,0.0
380,-309.25119,0.71058,0.71481,0.77832,0.0
381,295.688873,0.71086,0.71501,0.77835,0.0
382,354.575867,0.71081,0.71496,0.77829,0.0
383,-319.570251,0.71072,0.715,0.77827,0.0
384,-204.271744,0.71064,0.71488,0.77827,0.0
385,302.865143,0.7109,0.71474,0.7782,0.0
386,310.872223,0.71078,0.7147,0.77826,0.0
387,-299.698883,0.71077,0.71463,0.77832,0.0
388,303.776611,0.71057,0.71468,0.77827,0.0
389,-302.461517,0.71072,0.71449,0.77825,0.0
390,243.167404,0.71043,0.71457,0.77822,0.0
391,202.433838,0.71029,0.71455,0.77829,0.0
392,-231.703232,0.71062,0.7146,0.77818,0.0
393,146.908569,0.71055,0.71458,0.77818,0.0
394,-282.21286,0.71043,0.71436,0.77815,0.0
395,475.198883,0.71038,0.7145,0.77833,0.0
396,178.69075,0.71049,0.71421,0.77818,0.0
397,-181.98082,0.71057,0.71423,0.77816,0.0
398,81.403366,0.71039,0.71411,0.77813,0.0
399,-267.658478,0.71051,0.71424,0.77825,0.0
400,256.414063,0.71039,0.71425,0.77821,0.0
401,234.11496,0.71021,0.71422,0.77821,0.0
402,-259.728638,0.71034,0.71407,0.77818,0.0
403,365.257843,0.71036,0.71427,0.77814,0.0
404,-303.010254,0.7102,0.71396,0.77818,0.0
405,385.594391,0.71046,0.71426,0.77816,0.0
406,-399.083923,0.71017,0.71403,0.77808,0.0
407,241.23172,0.71022,0.71407,0.7781,0.0
408,109.387177,0.71039,0.7141,0.77807,0.0
409,-215.102982,0.70999,0.71379,0.77794,0.0
410,-251.211578,0.7098,0.71365,0.77794,0.0
411,228.990662,0.71015,0.71386,0.77802,0.0
412,281.985199,0.70982,0.71366,0.77802,0.0
413,398.897369,0.70991,0.71382,0.77795,0.0
414,-242.65062,0.70957,0.71375,0.778,0.0
415,245.494049,0.70958,0.7137,0.77802,0.0
416,322.649048,0.70965,0.71367,0.77792,0.0
417,-334.716095,0.7098,0.71343,0.77782,0.0
418,255.475388,0.70959,0.71343,0.77797,0.0
419,-283.025146,0.70962,0.71336,0.77785,0.0
420,280.139801,0.70933,0.71341,0.77779,0.0
421,-221.931961,0.70951,0.71322,0.77792,0.0
422,115.821175,0.70956,0.71339,0.77808,0.0
423,-157.029007,0.70958,0.71333,0.77797,0.0
424,-350.308044,0.70947,0.71313,0.77785,0.0
425,-113.093605,0.70943,0.71302,0.77787,0.0
426,306.26059,0.70965,0.71322,0.77773,0.0
427,166.215469,0.70937,0.71309,0.7779,0.0
428,181.55452,0.70939,0.71305,0.77779,0.0
429,-293.663452,0.70925,0.71309,0.77781,0.0
430,-308.867859,0.70935,0.71309,0.77772,0.0
431,-115.444672,0.70936,0.71287,0.77783,0.0
432,374.955017,0.70936,0.71305,0.77773,0.0
433,-287.800293,0.70933,0.71292,0.77775,0.0
434,154.722122,0.70917,0.71283,0.77771,0.0
435,260.472443,0.7091,0.71294,0.77769,0.0
436,-105.721542,0.70921,0.71286,0.77769,0.0
437,-228.963928,0.70916,0.7127,0.77776,0.0
438,343.450928,0.70916,0.71283,0.77776,0.0
439,183.443954,0.70902,0.71273,0.77768,0.0
440,46.374146,0.70916,0.71255,0.77775,0.0
441,267.837646,0.70913,0.71269,0.77779,0.0
442,-319.781891,0.70914,0.71263,0.77777,0.0
443,376.675293,0.70897,0.71261,0.7778,0.0
444,-190.621521,0.70904,0.71249,0.77768,0.0
445,256.965668,0.70889,0.71233,0.77775,0.0
446,279.227936,0.70883,0.71243,0.77767,0.0
447,-298.335114,0.70889,0.71244,0.7777,0.0
448,233.688568,0.70879,0.71245,0.7777,0.0
449,-192.844421,0.70882,0.71253,0.77761,0.0
450,380.510956,0.70893,0.71256,0.7777,0.0
451,-295.850006,0.70868,0.71222,0.77762,0.0
452,336.914703,0.70875,0.71228,0.77769,0.0
453,-354.010193,0.70881,0.71237,0.77777,0.0
454,324.417297,0.70867,0.7123,0.77771,0.0
