,C,Um,Ur,Ud,C_target
5118,-59.896786,0.7033,0.70291,0.77657,1.8
5119,2.258544,0.70318,0.70294,0.77666,1.8
5120,-75.009605,0.70318,0.70269,0.77652,1.8
5121,25.137575,0.70293,0.70264,0.77657,1.8
5122,1.333917,0.70282,0.70241,0.77655,1.8
5123,-80.381569,0.70298,0.70238,0.77653,1.8
5124,28.072912,0.70279,0.70245,0.77648,1.8
5125,-43.442799,0.70274,0.70215,0.77649,1.8
5126,32.1395,0.70254,0.7021,0.77648,1.8
5127,-38.553406,0.70255,0.70188,0.77646,1.8
5128,-31.415537,0.70251,0.70184,0.77649,1.8
5129,29.990452,0.70234,0.7018,0.77643,1.8
5130,111.505348,0.70225,0.70189,0.77644,1.8
5131,2.783391,0.70241,0.70181,0.77647,1.8
5132,-0.278259,0.70251,0.70195,0.77643,1.8
5133,114.702324,0.70236,0.70207,0.77641,1.8
5134,-37.410301,0.7026,0.70196,0.77648,1.8
5135,85.587021,0.7025,0.70219,0.7765,1.8
5136,39.248753,0.7026,0.70221,0.77652,1.8
5137,88.802673,0.7025,0.70221,0.77654,1.8
5138,-63.382355,0.70287,0.70228,0.77651,1.8
5139,3.569201,0.70277,0.70233,0.77652,1.8
5140,69.453659,0.70274,0.7025,0.77653,1.8
5141,66.219627,0.70293,0.70276,0.77653,1.8
5142,34.159412,0.70296,0.70272,0.7766,1.8
5143,37.450867,0.70303,0.70283,0.77664,1.8
5144,-21.001215,0.70318,0.70285,0.77667,1.8
5145,-242.408264,0.70359,0.70284,0.77656,1.8
5146,11.467141,0.70321,0.70301,0.77661,1.8
5147,-37.818485,0.70332,0.70301,0.77659,1.8
5148,-53.818127,0.70321,0.70279,0.77657,1.8
5149,-60.448853,0.70313,0.70266,0.77657,1.8
5150,36.839222,0.70306,0.70287,0.77659,1.8
5151,-16.377335,0.70305,0.70268,0.77654,1.8
5152,77.409767,0.70281,0.70263,0.77648,1.8
5153,31.938068,0.70275,0.70241,0.77655,1.8
5154,132.070282,0.7025,0.70232,0.7765,1.8
5155,26.087204,0.70256,0.70211,0.77642,1.8
5156,-55.164249,0.70268,0.70201,0.77646,1.8
5157,-59.218746,0.70257,0.70185,0.77642,1.8
5158,-40.971684,0.70255,0.70187,0.77638,1.8
5159,86.701706,0.70221,0.70177,0.77642,1.8
5160,23.915815,0.7021,0.70143,0.77636,1.8
5161,17.06451,0.70208,0.70138,0.77636,1.8
5162,44.517529,0.70204,0.7014,0.77631,1.8
5163,80.642136,0.70191,0.70132,0.77628,1.8
5164,69.325615,0.70193,0.70131,0.77633,1.8
5165,99.458145,0.70195,0.70142,0.77628,1.8
5166,97.866447,0.70192,0.70138,0.77633,1.8
5167,23.306818,0.70205,0.70135,0.77638,1.8
5168,42.988895,0.70198,0.7013,0.77637,1.8
5169,23.013119,0.7021,0.70143,0.77636,1.8
5170,-15.350401,0.70224,0.70149,0.77641,1.8
5171,-1.727536,0.70235,0.7017,0.77642,1.8
5172,-18.484953,0.70248,0.70184,0.77646,1.8
5173,145.35762,0.70222,0.70194,0.77634,1.8
5174,131.978836,0.70216,0.70182,0.77636,1.8
5175,193.573914,0.70213,0.70194,0.77641,1.8
5176,-15.046597,0.70268,0.70215,0.77648,1.8
5177,129.533951,0.7026,0.70246,0.77655,1.8
