,Unnamed: 0,C,Um,Ur,Ud,C_target
87,87,142.77868700000002,0.69907,0.69733,0.77596,0.0
88,88,177.052658,0.69896,0.69726,0.77598,0.0
89,89,322.17511,0.6988300000000001,0.69743,0.77598,0.0
90,90,118.131401,0.69913,0.69734,0.77603,0.0
91,91,108.44912,0.69895,0.69706,0.7759999999999999,0.0
92,92,159.397583,0.6989,0.69712,0.77603,0.0
93,93,88.868027,0.69894,0.69699,0.7759699999999999,0.0
94,94,189.969833,0.69885,0.69713,0.7759699999999999,0.0
95,95,157.855576,0.6987899999999999,0.69696,0.77596,0.0
96,96,73.304153,0.69897,0.69698,0.7759199999999999,0.0
97,97,-37.491436,0.6992,0.69698,0.77596,0.0
98,98,45.159279,0.69902,0.69699,0.77593,0.0
99,99,174.56723,0.6987899999999999,0.69701,0.77593,0.0
