,val_loss,val_mse,loss,mse
33,2547147.251287001,2546988.25,2797456.051841746,2797297.5
34,2514196.697876448,2514037.0,2761808.476693952,2761649.5
35,2471776.8886743886,2471616.75,2731823.716462028,2731664.0
36,2448616.5421492923,2448455.75,2697775.7908140062,2697615.0
37,2410341.639317889,2410180.5,2666706.217939973,2666545.5
38,2384637.1647361647,2384475.5,2632306.0810595728,2632144.5
39,2346312.6695624194,2346150.5,2601019.991359709,2600857.75
40,2304693.4401544402,2304531.0,2566806.7406775807,2566644.5
41,2274333.3524774774,2274170.25,2529291.7517053206,2529129.0
42,2250052.1856499356,2249888.5,2501749.510800364,2501586.25
43,2215489.139157014,2215325.25,2472462.610959527,2472298.75
44,2188556.412805663,2188392.0,2443136.85902683,2442972.75
45,2162708.372908623,2162543.5,2416287.547748977,2416122.75
46,2127753.8001930504,2127588.75,2385394.1945202365,2385229.0
47,2100914.1565315314,2100748.75,2356254.4928376535,2356089.25
48,2064097.864060489,2063932.125,2326791.9131423375,2326626.25
49,2044868.0807593307,2044701.875,2299455.8020691224,2299289.75
50,2024612.9134491635,2024446.25,2273024.8032628465,2272858.25
51,1993839.8907657657,1993672.875,2251102.624829468,2250935.75
52,1967155.9794079794,1966988.5,2222603.13631196,2222435.5
53,1945999.5791505792,1945831.625,2199396.1400636653,2199228.25
54,1911782.2083333333,1911614.0,2172973.9421896315,2172806.0
55,1897069.9296975548,1896901.375,2148931.005570714,2148762.25
56,1874209.8359073359,1874040.875,2129002.971066394,2128834.25
57,1844969.5275096525,1844800.125,2104221.4666325604,2104052.0
58,1821255.4094272845,1821085.5,2079301.9560027285,2079132.625
59,1793045.3766087517,1792875.375,2053733.155979991,2053563.125
60,1774294.0323359072,1774123.5,2030111.17024784,2029941.0
61,1744111.6412483912,1743940.875,2004517.4848794907,2004346.875
62,1724737.8862612613,1724566.625,1982017.4575943612,1981846.5
63,1697870.1116473617,1697698.625,1959374.0860050023,1959202.625
64,1674491.5900900902,1674319.625,1934359.792519327,1934187.75
65,1659172.803088803,1659000.375,1911442.9753865392,1911271.0
66,1634020.6621621621,1633847.875,1891255.8063892678,1891083.125
67,1625728.883043758,1625555.5,1872713.3704524783,1872540.625
68,1596308.613095238,1596135.125,1854436.2744429286,1854262.875
69,1575555.3622908622,1575381.5,1836036.2874033651,1835862.75
70,1559647.9314671815,1559473.875,1817282.5887903592,1817108.625
71,1539862.4118404118,1539688.0,1800103.017166894,1799928.625
72,1528701.0818854568,1528526.125,1782188.8273078671,1782014.125
73,1508507.6348133849,1508332.5,1766609.3414051842,1766434.5
74,1490825.2347168596,1490649.75,1748366.1541894043,1748191.0
75,1465063.6344916346,1464887.875,1733489.9239427012,1733314.375
76,1461027.5587194336,1460851.375,1715645.4443497043,1715469.5
77,1437522.7186293437,1437346.25,1701280.937244202,1701104.625
78,1429276.0189832689,1429099.125,1688974.6800250113,1688798.0
79,1411304.7146074646,1411127.375,1674530.199181446,1674353.25
80,1386804.9845559846,1386627.75,1662182.3784674853,1662005.125
81,1379805.0966859716,1379627.375,1647600.5271145976,1647423.0
82,1368642.2726833976,1368464.125,1634450.2037289678,1634272.375
83,1354349.015926641,1354170.625,1623739.1132332878,1623560.75
84,1336962.4634813385,1336783.875,1609487.1008981355,1609308.5
85,1321247.2742921493,1321068.375,1598267.315711687,1598088.5
86,1311929.0136743886,1311749.75,1585298.5100613916,1585119.25
87,1299594.4205276705,1299414.875,1572155.4730559345,1571976.0
88,1286004.1714929214,1285824.375,1560930.857946794,1560751.125
89,1273104.3281853283,1272924.25,1551215.7041837198,1551035.75
90,1269700.1872586873,1269519.625,1539781.1239768076,1539600.875
91,1254739.398005148,1254558.625,1529919.2802978626,1529738.75
92,1243516.408944659,1243335.375,1520272.9703842655,1520092.125
93,1226258.7652027027,1226077.625,1509266.7579581628,1509085.375
94,1223317.8857786357,1223136.25,1499795.5303547066,1499614.25
95,1212230.9963803089,1212049.25,1491635.2289677125,1491453.375
96,1198612.8563384814,1198430.75,1482216.5987949069,1482034.5
97,1190638.716859717,1190456.375,1472178.0883924512,1471995.75
98,1181804.6788127413,1181622.0,1463346.2568212824,1463163.75
99,1176326.2446911198,1176143.375,1454737.7139608914,1454555.0
100,1155620.9128861004,1155437.875,1448572.9968167348,1448389.875
101,1158403.6525096525,1158220.25,1438506.9300818553,1438324.0
