,val_loss,val_mse,loss,mse
97,1703167.8412227838,1703133.0,2027513.4788345245,2027478.625
98,1709249.05938958,1709214.0,2006162.7872457395,2006127.75
99,1674325.3787908242,1674290.625,1991832.316657504,1991797.625
100,1658914.1432251167,1658879.375,1972652.0785459043,1972617.25
101,1645017.8643079316,1644982.875,1957052.8526663003,1957018.0
102,1630661.8027313375,1630626.75,1941788.1764018692,1941753.125
103,1619230.3316485225,1619195.375,1928917.6685678945,1928882.75
104,1609628.3852060654,1609593.375,1915510.2089747114,1915474.875
105,1595345.934535381,1595311.0,1903100.8156954371,1903065.875
106,1588131.6597492225,1588096.75,1892780.2435747664,1892745.375
107,1578312.9302585537,1578277.875,1882780.3423584388,1882745.125
108,1566676.7228324262,1566641.625,1873534.946055525,1873499.875
109,1555073.9804140746,1555038.875,1874549.51264431,1874514.5
110,1550932.6696150855,1550897.5,1858666.7902693788,1858631.75
111,1540561.4541213063,1540526.25,1847839.9789719626,1847804.75
112,1531105.463744168,1531070.25,1837448.6253435954,1837413.375
113,1524558.535138025,1524523.25,1828429.419048928,1828394.25
114,1517670.5614793934,1517635.375,1824284.333699835,1824249.125
115,1511629.3927391134,1511594.0,1813701.5128504673,1813666.25
116,1512252.2566096424,1512216.875,1806784.5052913688,1806749.25
117,1501124.1521675738,1501088.75,1800407.5046728973,1800372.125
118,1495912.0469479004,1495876.625,1794558.506253436,1794522.875
119,1494353.3038005442,1494317.875,1787378.3382352942,1787343.0
120,1486556.4096034216,1486520.875,1780631.4512094557,1780596.125
121,1486179.2602060654,1486144.0,1778472.746048653,1778437.25
122,1480345.9787616641,1480310.5,1770314.5128504673,1770279.0
123,1473297.3675641525,1473261.875,1763212.720760033,1763177.25
124,1468833.247958787,1468797.625,1758651.6595141562,1758616.125
125,1465960.2741057542,1465924.75,1754235.1273364485,1754199.5
126,1460199.8125972005,1460164.125,1750131.4409015942,1750095.75
127,1456080.5109836704,1456044.875,1741321.0912589335,1741285.5
128,1460103.25622084,1460067.5,1742273.4086036284,1742237.625
129,1458036.1884234059,1458000.5,1738575.396285734,1738539.625
130,1442029.4708884137,1441993.875,1733708.486909016,1733672.5
131,1440053.3159992225,1440017.625,1724185.206019791,1724149.625
132,1436531.340299378,1436495.625,1720028.226635514,1719992.5
133,1435685.9877527216,1435650.375,1716966.739348543,1716930.75
134,1431090.0080676517,1431054.25,1715261.4376030785,1715225.625
135,1424149.2742515553,1424113.625,1707153.1886338647,1707117.25
136,1427659.2538394246,1427623.5,1709068.3177913688,1709032.625
137,1419677.3535186625,1419641.625,1710578.5380703683,1710543.0
138,1414364.6877430016,1414328.875,1695636.231170973,1695600.5
139,1413145.2480073872,1413109.375,1692861.346206707,1692825.5
140,1408347.8920101088,1408312.0,1686324.7660115447,1686289.0
141,1410373.1717048988,1410337.375,1683540.8261407367,1683505.0
142,1409703.464375972,1409667.5,1685011.735706432,1684975.625
143,1402887.7243390358,1402851.625,1680704.1651663003,1680668.125
144,1394929.385643468,1394893.5,1672157.9323117097,1672121.875
145,1397622.5721228616,1397586.625,1669384.9392523365,1669349.125
146,1389325.1145995334,1389289.125,1667354.3508108852,1667318.25
147,1395273.0392690513,1395237.0,1661027.433342496,1660991.375
148,1381636.9489696734,1381601.0,1661236.1531061023,1661199.875
149,1379749.7158825817,1379713.75,1656140.1679150632,1656104.125
150,1376769.7512150079,1376733.75,1653044.472993403,1653008.75
151,1374116.2712869362,1374080.25,1649467.5292056075,1649431.625
152,1370484.1637830483,1370448.25,1644833.7280098957,1644797.75
153,1368739.9001749612,1368703.875,1642036.5774807588,1642000.625
154,1369197.7920878693,1369161.75,1643344.5597855966,1643308.5
155,1363530.716417185,1363494.625,1645820.6401181968,1645784.5
156,1362056.6589716175,1362020.625,1631359.367028587,1631323.375
157,1358138.091854588,1358102.125,1629818.2082188015,1629782.25
158,1357957.936382193,1357922.0,1627526.7075316107,1627490.75
159,1358403.8454996112,1358367.75,1623794.7803910116,1623758.875
160,1351370.9852741058,1351334.875,1624898.8763056626,1624862.625
